hotel_name,reg,state,types,cus_name,phone_no,emel,customer_rating,membership,payment_method,resv_status,meal,assgn_room,cus_seg,room_type,adult,(child),dis_channel,price,nights,package_,gross,disc,disc_amt,sales,dep,d_s,arrival_date,depature_date,ADR,Sales Person,pos,comm_pay,customer_review
"Lexis Suites, Penang",North,Penang,City Hotel,Ernest Barnes,669079201661,Ernest.Barnes31@outlook.com,5,Platinum,Credit Card,Check0Out,BB,C,Individual,Single Room,2,0,Direct,550,8,320,4.400,10%,440,4.280,300,Refunded,2/4/2024,10/4/2024,0,Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Andrea Baker,858063706955,Andrea_Baker94@aol.com,4,Gold,Credit Card,Check0Out,BB,C,Individual,Deluxe Room,2,0,Direct,650,6,240,3.900,5%,195,3.945,300,Refunded,13/7/2024,19/7/2024,0,Kelly,Sales Executive,20,Very Good
"Lexis Suites, Penang",North,Penang,City Hotel,Rebecca Parker,652088502745,Rebecca_Parker@comcast.net,5,Platinum,Online Transfer,Check0Out,BB,C,Corporate,Single Room,1,0,Agoda,550,13,260,7.150,10%,715,6.695,300,Refunded,22/8/2024,4/9/2024,75,Bernice,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,Laura Murray,364065608427,Laura_M@gmail.com,4,Platinum,Credit Card,Check0Out,BB,A,Family,Royal Suite,3,1,Direct,1.800,6,480,10.800,10%,1.080,10.200,300,Refunded,16/5/2024,22/5/2024,75,Leo,Sales Manager,30,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Linda Hines,713022605883,LHines@verizon.com,5,Platinum,Online Transfer,Check0Out,BB,A,Family,Deluxe Room,2,2,Direct,650,5,400,3.250,10%,325,3.325,300,Forfeited,5/2/2024,10/2/2024,98,Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang,City Hotel,Jasmine Fletcher,190027106743,JFletcher43@xfinity.com,5,Gold,Credit Card,Check0Out,BB,A,Corporate,Single Room,1,0,Direct,550,14,280,7.700,5%,385,7.595,300,Refunded,13/9/2024,27/9/2024,98,Kelly,Sales Executive,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Dylan Rangel,420033205209,Rangel.Dylan@comcast.net,5,Gold,Online Transfer,Check0Out,BB,C,Corporate,Single Room,1,0,Agoda,550,5,100,2.750,5%,138,2.713,300,Refunded,12/9/2024,17/9/2024,107,Derek,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel,William Velez,286066904333,Velez_William@mail.com,4,Gold,Online Transfer,Check0Out,FB,C,Family,Single Room,1,2,Booking.com,550,15,900,8.250,5%,413,8.738,300,Refunded,15/9/2024,30/9/2024,103,Amy,Sales Executive,15,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Steven Murphy,341072605787,Steven.Murphy54@aol.com,5,Gold,Online Transfer,Check0Out,BB,A,Individual,Deluxe Room,2,0,Booking.com,650,11,440,7.150,5%,358,7.233,300,Refunded,24/6/2024,5/7/2024,82,Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel,Michael Moore,316064806176,MichaelMoore81@outlook.com,4,Gold,Credit Card,Check0Out,HB,D,Individual,Deluxe Room,3,0,Agoda,650,11,660,7.150,5%,358,7.453,300,Refunded,29/5/2024,9/6/2024,"105,5",Leo,Sales Manager,20,Very Good
